name,usage,crop,problem,problem_notes,faostat_name,faostat_definition
NPK 18 4 12,,Coffee,1,,"Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms."
NPK 18 5 14,,,,,,
NPK 18 5 18 + 2MgO,,,,,,
NPK 18 6 12 ,,,,,,
NPK 18 9 27 + 2MgO + TE,,,,,,
NPK 18 12 22 + TE,,,,,,
NPK 18 18 18 + 3MgO,,,,,,
NPK 18 18 18 + TE,,,,,,
NPK 18 22 5,,,,,,
NPK 18 24 10 + 1MgO,,,,,,
NP 18 44 0 ,,,,,,
NPK 18.5 9 24 + 2.2S + 2MgO,,,,,,
NPK 19 19 19 + 1MgO + TE,,,,,,
NPK 19 4 19 + 2S + 3MgO + TE,,,,,,
NPK 19 9 19,,,,,,
NPK 19 19 19,,Flowers,1,,,
NP 19 38 0 + 7S,,,,,,
NPK 20 20 20 + TE,,,,,,
NPK 20 3.5 11.6 + 5S + 1.2MgO + TE,,,,,,
NPK 20 10 10 + 1MgO,,,,,,
NPK 20 6 18 + 2MgO,,,,,,
NPK 20 10 10,,Coffee,1,,"Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms."
NPK 20 10 10,,Cereals,1,,"Cereals, nes","Including inter alia: canagua or coaihua (Chenopodium pallidicaule); quihuicha or Inca wheat (Amaranthus caudatus); adlay or Job's tears (Coix lacryma-jobi); wild rice (Zizania aquatica). Other cereal crops that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report cereals under this commodity heading that are classified individually by FAO."
NPK 20 10 5,,,,,,
NPK 20 10 17,,,,,,
NPK 20 10 20,,,,,,
NP 20 20 0,,Maize and Sugarcane,,,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
NPK 20 20 4 + TE,,,,,,
NPK 20 20 8,,,,,,
NPK 20 20 20,,,,,,
NPK 20 20 20 + 1MgO + TE,,,,,,
NPK 20 50 10,,,,,,
NPK 21 6 12 + 4S +6MgO + 15B + 1.5Zn ,,,,,,
NPK 21 7 14,,Cereals,1,,"Cereals, nes","Including inter alia: canagua or coaihua (Chenopodium pallidicaule); quihuicha or Inca wheat (Amaranthus caudatus); adlay or Job's tears (Coix lacryma-jobi); wild rice (Zizania aquatica). Other cereal crops that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report cereals under this commodity heading that are classified individually by FAO."
NPK 21 7 21 + TE,,,,,,
NPK 21 10 8 + 3MgO + TE,,,,,,
NPK 21 5 8 + 8.5MgO,,,,,,
NPK 22 6 12,,,,,,
NPK 22 6 12 + 3S + 1MgO + 2CaO + TE,,,,,,
NPK 22 16 18 + TE,,,,,,
NPK 22 21 17 + TE,,Tea,,,Tea,"Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
NPK 23 10 10 5 + 5S + 2MgO,,,,,,
NPK 23 5 5 + TE,,,,,,
NPK 23 5 12 + 2MgO,,,,,,
NPK 23 10 5,,Maize,,,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
NPK 23 10 5,,Wheat + Barley,,,Barley,"Hordeum spp.: two-row barley (H. disticum) six-row barley (H. hexasticum) four-row barley (H. vulgare). Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute."
NPK 23 10 5 +3S + Zn,,,,,,
NPK 23 10 5 +3S + 3MgO + Zn,,,,,,
NPK 23 10 5 + 3S + 2MgO + 0.3Zn,,,,,,
NPK 23 12 12 + TE,,,,,,
NP 23 21 0 + 4S,,,,,,
NP 23 23 0,,Maize and Sugarcane,,,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
NPK 23 23 11 + TE,,,,,,
NPK 24 24 18,,,,,,
NPK 24 18 18,,,,,,
NP 25 5 0 + 5S (MOP BASED),,Tea,,,Tea,"Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
NPK 25 5 5 +3.95S+ 2.6MgO,,Tea,,,Tea,"Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
NPK 25 5 5,,,,,,
NPK 25 5 5 + 3S,,,,,,
NPK 25 5 5 + 5S,,Tea,,,Tea,"Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
NPK 25 5 5 + 5S + 3MgO,,,,,,
NPK 25 5 5 + 7S + 3MgO,,,,,,
NPK 25 5 5 + 3MgO (SOP BASED),,,,,,
NPK 25 5 10,,,,,,
NPK 25 13 5 + 5MgO + TE,,,,,,
NK 26 0 20 + S + MgO + CaO + TE,,,,,,
NPK 26 5 5 ,,Tea,,,Tea,"Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
NPK 26 12 12 + 2MgO,,,,,,
NPK 27 5 11 + 2MgO,,,,,,
NPK 27 6 6 + 2S,,,,,,
NPK 27 13 13,,Maize,,,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
NPK 27 13 13,,Rice,1,,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
NPK 27 15 12 + 1MgO + TE,,,,,,
NP 27 14 0 + 6MgO + TE,,,,,,
NPK 27 24 15,,,,,,
NK 28 0 24,,,,,,
NPK 28 10 10 + 10S + TE,,,,,,
NPK 28 14 14 + TE,,,,,,
NP 28 28 0,,Flowers,1,,,
NP 28 28 0,,Potato,,,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
NP 28 28 0,,Pea,1,,,
NP 28 28 0,,Pinapple,1,A. sativ. Trade figures may include dried pineapples.,Pineapples,Ananas comosus
NPK29 10 10 + 3MgO + TE,,,,,,
NPK29 20 20 + 3MgO,,,,,,
NPK 30 10 10,,,,,,
NPK 30 11 11 + TE,,,,,,
NPK 31 8 8 ,,,,,,
NPK 35 5 7 + 2MgO,,,,,,
NPK 39 5 5 ,,,,,,
NPK 30 10 10 + 1MgO + TE,,,,,,
